Group1,Group2,Group3,Group4,Group5,Group6,Group7,P,PairProduct,FinalResult,NormalizedFinalResult
1.1.,2.1.,3.2.,4.1.,5.3.,6.1.,7.2.,0.00024299999999999994,656.6875406504403,0.15957507237805696,0.00018694964529480175
1.1.,2.1.,3.2.,4.1.,5.3.,6.1.,7.3.,0.0004049999999999999,208.680707362251,0.08451568648171165,9.901407139687649e-05
1.1.,2.1.,3.2.,4.1.,5.3.,6.2.,7.1.,0.00010800000000000001,596.8473742243057,0.06445951641622502,7.551733206385686e-05
1.1.,2.1.,3.2.,4.1.,5.3.,6.2.,7.2.,0.000162,860.8375589773638,0.13945568455433294,0.00016337884340738256
1.1.,2.1.,3.2.,4.1.,5.3.,6.2.,7.3.,0.00027,220.94830680419008,0.05965604283713132,6.988983856871366e-05
1.1.,2.1.,3.2.,4.1.,5.4.,6.1.,7.1.,5.4000000000000005e-05,119.68068889538513,0.006462757200350798,7.571421702818214e-06
1.1.,2.1.,3.2.,4.1.,5.4.,6.1.,7.2.,8.1e-05,219.69357227299727,0.01779517935411278,2.08478831852075e-05
1.1.,2.1.,3.2.,4.1.,5.4.,6.1.,7.3.,0.000135,87.26716898621835,0.011781067813139477,1.3802070812429037e-05
1.1.,2.1.,3.2.,4.1.,5.4.,6.2.,7.1.,3.6e-05,158.6300255181437,0.005710680918653174,6.690329236415309e-06
1.1.,2.1.,3.2.,4.1.,5.4.,6.2.,7.2.,5.4000000000000005e-05,216.31367116110502,0.011680938242699673,1.3684764347213131e-05
1.1.,2.1.,3.2.,4.1.,5.4.,6.2.,7.3.,9e-05,69.40063616418787,0.006246057254776909,7.317547602329245e-06
1.1.,2.1.,3.2.,4.2.,5.1.,6.1.,7.1.,0.00016200000000000003,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.2.,5.1.,6.1.,7.2.,0.000243,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.2.,5.1.,6.1.,7.3.,0.00040500000000000003,109.22729539115363,0.044237054633417226,5.1825774222499004e-05
1.1.,2.1.,3.2.,4.2.,5.1.,6.2.,7.1.,0.00010800000000000001,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.2.,5.1.,6.2.,7.2.,0.000162,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.2.,5.1.,6.2.,7.3.,0.00027,134.9231112846154,0.03642924004684616,4.2678555012540755e-05
1.1.,2.1.,3.2.,4.2.,5.2.,6.1.,7.1.,0.00081,1386.3464415031046,1.1229406176175147,0.0013155773456480521
1.1.,2.1.,3.2.,4.2.,5.2.,6.1.,7.2.,0.001215,1938.472696526446,2.3552443262796317,0.0027592786568656977
